# H2+ rovibrational excitation energies      UGAMOP database
# indx     quantum state       energy
#      electronic     v    j   (cm^-1)
#-------------------------------------
  338 X ^2Sig^+g     7   23  20237.59
  339 X ^2Sig^+g    14    5  20252.95
  340 X ^2Sig^+g    11   15  20267.87
  341 X ^2Sig^+g     6   25  20353.42
  342 X ^2Sig^+g    14    6  20355.35
  343 X ^2Sig^+g    13   10  20367.23
  344 X ^2Sig^+g    12   13  20389.29
  345 X ^2Sig^+g     1   33  20435.63
  346 X ^2Sig^+g     3   30  20441.11
  347 X ^2Sig^+g    14    7  20470.34
  348 X ^2Sig^+g    10   18  20500.56
  349 X ^2Sig^+g     9   20  20507.04
  350 X ^2Sig^+g     5   27  20519.08
  351 X ^2Sig^+g    15    0  20530.61
  352 X ^2Sig^+g    11   16  20538.33
  353 X ^2Sig^+g    15    1  20546.13
  354 X ^2Sig^+g    13   11  20546.53
  355 X ^2Sig^+g     8   22  20559.83
  356 X ^2Sig^+g    15    2  20576.86
  357 X ^2Sig^+g    14    8  20595.94
  358 X ^2Sig^+g    12   14  20616.73
  359 X ^2Sig^+g    15    3  20622.15
  360 X ^2Sig^+g     7   24  20659.95
  361 X ^2Sig^+g    15    4  20681.05
  362 X ^2Sig^+g     2   32  20726.87
  363 X ^2Sig^+g    14    9  20729.88
  364 X ^2Sig^+g    13   12  20730.04
  365 X ^2Sig^+g     4   29  20733.97
  366 X ^2Sig^+g    15    5  20752.31
  367 X ^2Sig^+g     0   35  20794.26
  368 X ^2Sig^+g    11   17  20805.18
  369 X ^2Sig^+g    10   19  20806.15
  370 X ^2Sig^+g     6   26  20807.67
  371 X ^2Sig^+g    15    6  20834.36
  372 X ^2Sig^+g    12   15  20843.06
  373 X ^2Sig^+g     9   21  20849.18
  374 X ^2Sig^+g    14   10  20869.63
  375 X ^2Sig^+g    13   13  20914.66
  376 X ^2Sig^+g    15    7  20925.33
  377 X ^2Sig^+g     8   23  20936.15
  378 X ^2Sig^+g    16    0  20946.64
  379 X ^2Sig^+g    16    1  20958.55
  380 X ^2Sig^+g    16    2  20982.04
  381 X ^2Sig^+g     3   31  20997.37
  382 X ^2Sig^+g     5   28  21002.83
  383 X ^2Sig^+g    14   11  21012.29
  384 X ^2Sig^+g    16    3  21016.40
  385 X ^2Sig^+g    15    8  21022.99
  386 X ^2Sig^+g    16    4  21060.61
  387 X ^2Sig^+g     1   34  21061.39
  388 X ^2Sig^+g    12   16  21064.58
  389 X ^2Sig^+g    11   18  21064.63
  390 X ^2Sig^+g     7   25  21068.00
  391 X ^2Sig^+g    13   14  21096.85
  392 X ^2Sig^+g    10   20  21101.58
  393 X ^2Sig^+g    16    5  21113.26
  394 X ^2Sig^+g    15    9  21124.75
  395 X ^2Sig^+g    14   12  21154.49
  396 X ^2Sig^+g    16    6  21172.58
  397 X ^2Sig^+g     9   22  21178.36
  398 X ^2Sig^+g    17    0  21221.95
  399 X ^2Sig^+g    15   10  21227.48
  400 X ^2Sig^+g    17    1  21229.83
  401 X ^2Sig^+g    16    7  21236.33
  402 X ^2Sig^+g     4   30  21245.02
  403 X ^2Sig^+g     6   27  21245.05
  404 X ^2Sig^+g    17    2  21245.21
  405 X ^2Sig^+g    17    3  21267.27
  406 X ^2Sig^+g    13   15  21272.31
  407 X ^2Sig^+g    12   17  21276.87
  408 X ^2Sig^+g    14   13  21292.14
  409 X ^2Sig^+g    17    4  21294.78
  410 X ^2Sig^+g     8   24  21296.68
  411 X ^2Sig^+g    16    8  21301.70
  412 X ^2Sig^+g     2   33  21308.58
  413 X ^2Sig^+g    11   19  21312.05
  414 X ^2Sig^+g    17    5  21325.96
  415 X ^2Sig^+g    15   11  21327.26
  416 X ^2Sig^+g    18    0  21352.54
  417 X ^2Sig^+g    18    1  21355.94
  418 X ^2Sig^+g    17    6  21358.34
  419 X ^2Sig^+g    18    2  21362.23
  420 X ^2Sig^+g    16    9  21364.89
  421 X ^2Sig^+g    18    3  21370.35
  422 X ^2Sig^+g    19    0  21375.39
  423 X ^2Sig^+g    19    1  21375.90
