# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    8    17     1.0891082147E+05     4.6158438533E+08     7.5560207746E-01
    8    18     1.0969813060E+05     4.6237308551E+08     8.0034239687E-01
    8    19     1.1043276849E+05     4.5290751134E+08     8.4594612587E-01
    8    20     1.1117255391E+05     4.2830713730E+08     8.8552399919E-01
    8    21     1.1185267458E+05     4.4359410062E+08     9.1254111376E-01
    8    22     1.1256255781E+05     3.3129596311E+08     9.2776997205E-01
    8    23     1.1317333792E+05     4.3988698990E+08     9.4911123805E-01
    8    24     1.1376447077E+05     3.4752259697E+08     9.5304674238E-01
    8    25     1.1439512473E+05     4.3799909812E+08     9.6290752517E-01
    8    26     1.1494944660E+05     4.1978606572E+08     9.4033235109E-01
    8    27     1.1551460598E+05     4.3652199480E+08     9.4969203791E-01
    8    28     1.1601806797E+05     4.4459792253E+08     8.9982613842E-01
    8    29     1.1652139617E+05     4.8012490706E+08     8.2176113938E-01
    8    30     1.1696188732E+05     5.0606382518E+08     7.5003683538E-01
    8    31     1.1738966715E+05     5.4158308791E+08     6.5236647200E-01
    8    32     1.1774407188E+05     5.8186712799E+08     5.5498079069E-01
    8    33     1.1805826111E+05     6.6190427520E+08     3.8681879309E-01
    8    34     1.1826546415E+05     7.5774572064E+08     2.2643671808E-01
    8    35     1.1835971986E+05     9.6627909768E+08     4.8136387380E-02
    9     0     9.1838620810E+04     1.3965353857E+02     9.5585114589E-02
    9     1     9.3084109660E+04     7.9457609133E+03     9.1750953409E-02
    9     2     9.4301966440E+04     2.5702131402E+05     8.5079185451E-02
    9     3     9.5491217060E+04     2.0483996150E+06     1.0936178926E-01
    9     4     9.6651212650E+04     2.0752761813E+07     9.2397532314E-02
    9     5     9.7781563180E+04     9.2106227328E+07     1.0420639881E-01
    9     6     9.8882085390E+04     2.1311414840E+08     1.4030989379E-01
    9     7     9.9952699940E+04     4.8399514309E+08     1.4463442627E-01
    9     8     1.0099307254E+05     5.0068441023E+08     2.2951624282E-01
    9     9     1.0200859577E+05     4.6329212894E+08     3.2847778572E-01
    9    10     1.0298775767E+05     5.2654135103E+08     3.5957315226E-01
    9    11     1.0396998987E+05     3.7542758981E+08     4.3495126468E-01
    9    12     1.0486914133E+05     4.9934315156E+08     5.0786194535E-01
    9    13     1.0575313778E+05     4.6822783179E+08     5.5712011074E-01
    9    14     1.0664061352E+05     4.9207878604E+08     6.1875081339E-01
    9    15     1.0747467577E+05     4.8510081697E+08     6.6146637618E-01
    9    16     1.0830628023E+05     4.8023033528E+08     7.1419515334E-01
    9    17     1.0908690739E+05     4.7117209179E+08     7.6681083874E-01
    9    18     1.0987290919E+05     4.3748249210E+08     8.1494500546E-01
    9    19     1.1059577000E+05     4.5403832548E+08     8.5845167891E-01
    9    20     1.1136581862E+05     2.6900380290E+08     8.9604869861E-01
    9    21     1.1200452305E+05     4.4467393229E+08     9.1866679026E-01
    9    22     1.1264647538E+05     3.8956567708E+08     9.4052797117E-01
    9    23     1.1331515674E+05     4.4003446926E+08     9.5032179610E-01
    9    24     1.1391625789E+05     4.2729963149E+08     9.5539589303E-01
    9    25     1.1452785291E+05     4.2827777348E+08     9.7230389876E-01
    9    26     1.1507932121E+05     4.3333896013E+08     9.6212811097E-01
    9    27     1.1563905167E+05     4.2500257433E+08     9.3321107468E-01
    9    28     1.1613346996E+05     4.5302904762E+08     9.0193349854E-01
    9    29     1.1663726021E+05     5.0749000144E+08     7.0542538994E-01
    9    30     1.1706227595E+05     5.1772768697E+08     7.3809927954E-01
    9    31     1.1749293756E+05     6.0730737618E+08     4.9085900735E-01
    9    32     1.1782383966E+05     5.9247266342E+08     5.3518239220E-01
    9    33     1.1808735543E+05     7.5334344634E+08     2.7068931129E-01
    9    34     1.1830641119E+05     7.9376973198E+08     1.8133970688E-01
    9    35     1.1837285143E+05     1.0410158957E+09     2.7798612391E-02
   10     0     9.2173801650E+04     4.1449349486E+02     8.2914978929E-02
   10     1     9.3406377860E+04     2.2448177696E+04     7.1359101990E-02
   10     2     9.4612489700E+04     3.1333667765E+05     1.0732793579E-01
   10     3     9.5790814540E+04     5.7369517728E+06     8.1338063579E-02
   10     4     9.6940545460E+04     3.2887066809E+07     8.8033503016E-02
   10     5     9.8061150220E+04     1.1134423718E+08     1.2096732444E-01
   10     6     9.9152382080E+04     3.6402965968E+08     1.1405113020E-01
   10     7     1.0021412935E+05     5.2053246710E+08     1.6062023775E-01
   10     8     1.0124622211E+05     4.9675913750E+08     2.5577454055E-01
   10     9     1.0222807073E+05     3.1906406131E+08     3.2499151631E-01
   10    10     1.0322500126E+05     5.2650919686E+08     3.8083440355E-01
   10    11     1.0416437187E+05     4.9795979520E+08     4.5578758190E-01
   10    12     1.0509187266E+05     5.0930063039E+08     5.1532525920E-01
   10    13     1.0597607144E+05     5.0017146842E+08     5.7221920283E-01
   10    14     1.0685098609E+05     4.9147649086E+08     6.3007002817E-01
   10    15     1.0767900759E+05     4.8947622477E+08     6.8041824076E-01
   10    16     1.0851099492E+05     4.4372698879E+08     7.3368522810E-01
