# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
   24    11     1.0868541138E+05     2.6006068734E+08     5.2735099989E+08     7.8741168723E+08     6.6972716870E-01     8.1739517155E-01
   24    12     1.0946287609E+05     2.4704212900E+08     5.1785390943E+08     7.6489603843E+08     6.7702522096E-01     8.6273278545E-01
   24    13     1.1021572699E+05     2.3314478900E+08     5.0576275415E+08     7.3890754315E+08     6.8447366499E-01     9.0860119212E-01
   24    14     1.1094423066E+05     2.1773139000E+08     4.9373193260E+08     7.1146332260E+08     6.9396681026E-01     9.5154834466E-01
   24    15     1.1164863232E+05     2.0163740258E+08     4.8349877025E+08     6.8513617283E+08     7.0569733350E-01     9.8860968487E-01
   24    16     1.1232896815E+05     1.8692257110E+08     4.7541285273E+08     6.6233542383E+08     7.1778261531E-01     1.0184469515E+00
   24    17     1.1298604864E+05     1.7194060000E+08     4.7019232331E+08     6.4213292331E+08     7.3223519032E-01     1.0413839433E+00
   24    18     1.1361888978E+05     1.5945632600E+08     4.6600353420E+08     6.2545986020E+08     7.4505745909E-01     1.0578728624E+00
   24    19     1.1422925310E+05     1.5398395590E+08     4.6124215272E+08     6.1522610862E+08     7.4971160401E-01     1.0680703327E+00
   24    20     1.1481372138E+05     1.3991297940E+08     4.6135038629E+08     6.0126336569E+08     7.6730167280E-01     1.0720218077E+00
   24    21     1.1537247411E+05     1.5010117671E+08     4.5263073756E+08     6.0273191426E+08     7.5096527469E-01     1.0662633268E+00
   24    22     1.1591022222E+05     1.1849267300E+08     4.6233006397E+08     5.8082273697E+08     7.9599167619E-01     1.0520787717E+00
   24    23     1.1641763618E+05     1.0999761000E+08     4.6926002835E+08     5.7925763835E+08     8.1010589638E-01     1.0181559128E+00
   24    24     1.1689941987E+05     1.0844753508E+08     4.9410719351E+08     6.0255472859E+08     8.2002043975E-01     9.4216248734E-01
   24    25     1.1734385263E+05     9.3020113900E+07     5.1259262960E+08     6.0561274350E+08     8.4640330822E-01     8.7879730876E-01
   24    26     1.1774904690E+05     8.1759091317E+07     5.4628288133E+08     6.2804197264E+08     8.6981906484E-01     7.6596444914E-01
   24    27     1.1811154092E+05     7.2359165000E+07     5.8187881117E+08     6.5423797617E+08     8.8939932007E-01     6.5374501601E-01
   25     0     9.8942909590E+04     6.4863815200E+08     1.0308075701E+07     6.5894622770E+08     1.5643272952E-02     3.1693011625E-01
