# Data for C- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     2      1      2      4              1162.30          3.19998E+08          6.48400E-02          1.15732E+09
     2      1      2      5              1207.56          1.39687E+08          3.05500E-02          1.15732E+09
     2      1      2      6              1252.90          2.42560E+07          5.71100E-03          1.15732E+09
     2      1      2      7              1297.85          1.35453E+06          3.42200E-04          1.15732E+09
     2      1      2      8              1341.82          4.95174E+03          1.33700E-06          1.15732E+09
     2      1      2      9              1384.04          5.85323E+02          1.68200E-07          1.15732E+09
     2      1      2     10              1423.55          2.81693E+00          8.56300E-10          1.15732E+09
     2      1      2     11              1459.13          5.19266E-01          1.65800E-10          1.15732E+09
     2      1      2     12              1489.30          2.07878E-01          6.91600E-11          1.15732E+09
     2      1      2     13              1512.20          4.66340E-02          1.60000E-11          1.15732E+09
     2      1      2     14              1525.58          9.62761E-03          3.36100E-12          1.15732E+09
     3      1      3      0               989.73          2.48709E+08          3.65400E-02          1.15559E+09
     3      1      3      1              1031.86          1.76094E+08          2.81200E-02          1.15559E+09
     3      1      3      2              1075.03          4.06851E+06          7.05300E-04          1.15559E+09
     3      1      3      3              1119.07          2.42321E+08          4.55200E-02          1.15559E+09
     3      1      3      4              1163.80          3.19877E+08          6.49900E-02          1.15559E+09
     3      1      3      5              1208.93          1.39225E+08          3.05200E-02          1.15559E+09
     3      1      3      6              1254.11          2.39797E+07          5.65700E-03          1.15559E+09
     3      1      3      7              1298.85          1.30807E+06          3.31000E-04          1.15559E+09
     3      1      3      8              1342.56          4.01519E+03          1.08600E-06          1.15559E+09
     3      1      3      9              1384.45          6.00364E+02          1.72600E-07          1.15559E+09
     3      1      3     10              1423.55          4.18046E+00          1.27100E-09          1.15559E+09
     3      1      3     11              1458.64          4.06846E-01          1.29800E-10          1.15559E+09
     3      1      3     12              1488.18          2.03429E-01          6.75800E-11          1.15559E+09
     3      1      3     13              1510.29          4.90918E-02          1.68000E-11          1.15559E+09
     3      1      3     14              1522.63          9.53832E-03          3.31700E-12          1.15559E+09
     4      1      4      0               992.05          2.47825E+08          3.65800E-02          1.15332E+09
     4      1      4      1              1034.14          1.75865E+08          2.82100E-02          1.15332E+09
     4      1      4      2              1077.23          4.05353E+06          7.05600E-04          1.15332E+09
     4      1      4      3              1121.18          2.42369E+08          4.57000E-02          1.15332E+09
     4      1      4      4              1165.78          3.19729E+08          6.51800E-02          1.15332E+09
     4      1      4      5              1210.74          1.38614E+08          3.04800E-02          1.15332E+09
     4      1      4      6              1255.69          2.36130E+07          5.58500E-03          1.15332E+09
     4      1      4      7              1300.15          1.24727E+06          3.16300E-04          1.15332E+09
     4      1      4      8              1343.51          2.92992E+03          7.93300E-07          1.15332E+09
     4      1      4      9              1384.96          6.15729E+02          1.77200E-07          1.15332E+09
     4      1      4     10              1423.52          6.43930E+00          1.95700E-09          1.15332E+09
     4      1      4     11              1457.93          2.64097E-01          8.42000E-11          1.15332E+09
     4      1      4     12              1486.63          1.91519E-01          6.34900E-11          1.15332E+09
     4      1      4     13              1507.68          5.08695E-02          1.73400E-11          1.15332E+09
     5      1      5      0               994.92          2.46711E+08          3.66300E-02          1.15052E+09
     5      1      5      1              1036.95          1.75593E+08          2.83200E-02          1.15052E+09
     5      1      5      2              1079.96          4.03173E+06          7.05300E-04          1.15052E+09
     5      1      5      3              1123.78          2.42428E+08          4.59200E-02          1.15052E+09
     5      1      5      4              1168.21          3.19565E+08          6.54200E-02          1.15052E+09
     5      1      5      5              1212.95          1.37859E+08          3.04200E-02          1.15052E+09
     5      1      5      6              1257.62          2.31568E+07          5.49400E-03          1.15052E+09
     5      1      5      7              1301.74          1.17306E+06          2.98200E-04          1.15052E+09
     5      1      5      8              1344.65          1.82712E+03          4.95500E-07          1.15052E+09
     5      1      5      9              1385.55          6.26935E+02          1.80500E-07          1.15052E+09
     5      1      5     10              1423.42          9.96942E+00          3.03000E-09          1.15052E+09
     5      1      5     11              1456.98          1.13733E-01          3.62100E-11          1.15052E+09
