# Data for C+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
    12      0     13      3              1195.91          7.21123E+07          1.43200E-02          1.13972E+09
    12      0     11      3              1167.79          1.11552E+08          2.48000E-02          1.13972E+09
    12      0     13      4              1240.22          1.61442E+07          3.44900E-03          1.13972E+09
    12      0     11      4              1211.86          3.45776E+07          8.27900E-03          1.13972E+09
    12      0     13      5              1284.11          3.24843E+06          7.43900E-04          1.13972E+09
    12      0     11      5              1255.75          2.05104E+06          5.27300E-04          1.13972E+09
    12      0     13      6              1326.97          6.20804E+02          1.51800E-07          1.13972E+09
    12      0     11      6              1298.96          2.99026E+04          8.22600E-06          1.13972E+09
    12      0     13      7              1368.04          2.77186E+05          7.20500E-05          1.13972E+09
    12      0     11      7              1340.82          4.03575E+05          1.18300E-04          1.13972E+09
    12      0     13      8              1406.33          2.25894E+05          6.20500E-05          1.13972E+09
    12      0     11      8              1380.49          1.00889E+04          3.13500E-06          1.13972E+09
    12      0     13      9              1440.56          2.59347E+03          7.47500E-07          1.13972E+09
    12      0     11      9              1416.88          2.27471E+05          7.44600E-05          1.13972E+09
    12      0     13     10              1469.00          1.68614E+05          5.05400E-05          1.13972E+09
    12      0     11     10              1448.59          2.35947E+05          8.07300E-05          1.13972E+09
    12      0     11     11              1473.77          1.99405E+04          7.06200E-06          1.13972E+09
    13      0     14      0              1071.53          1.53236E+08          2.45700E-02          1.12632E+09
    13      0     12      0              1043.55          7.04261E+06          1.24200E-03          1.12632E+09
    13      0     14      1              1114.50          2.20747E+08          3.82900E-02          1.12632E+09
    13      0     12      1              1085.85          9.85428E+07          1.88200E-02          1.12632E+09
    13      0     14      2              1158.03          1.43550E+08          2.68800E-02          1.12632E+09
    13      0     12      2              1128.82          2.06567E+08          4.26400E-02          1.12632E+09
    13      0     14      3              1201.82          8.54207E+07          1.72300E-02          1.12632E+09
    13      0     12      3              1172.21          1.06391E+08          2.36800E-02          1.12632E+09
    13      0     14      4              1245.50          3.01099E+07          6.52300E-03          1.12632E+09
    13      0     12      4              1215.72          1.23022E+07          2.94600E-03          1.12632E+09
    13      0     14      5              1288.59          2.79088E+04          6.47200E-06          1.12632E+09
    13      0     12      5              1258.91          3.22443E+06          8.27900E-04          1.12632E+09
    13      0     14      6              1330.45          9.22142E+05          2.28000E-04          1.12632E+09
    13      0     12      6              1301.25          4.31944E+06          1.18500E-03          1.12632E+09
    13      0     14      7              1370.25          2.02164E+06          5.30100E-04          1.12632E+09
    13      0     12      7              1342.04          3.65334E+05          1.06600E-04          1.12632E+09
    13      0     14      8              1406.94          6.24507E+03          1.72600E-06          1.12632E+09
    13      0     12      8              1380.39          1.32151E+06          4.07900E-04          1.12632E+09
    13      0     14      9              1439.12          1.21705E+06          3.52000E-04          1.12632E+09
    13      0     12      9              1415.15          1.90939E+06          6.19500E-04          1.12632E+09
    13      0     14     10              1464.88          1.49670E+06          4.48500E-04          1.12632E+09
    13      0     12     10              1444.81          1.66169E+05          5.61900E-05          1.12632E+09
    13      0     12     11              1467.30          3.08175E+05          1.07500E-04          1.12632E+09
    14      0     15      0              1079.06          1.18618E+08          1.93800E-02          1.12796E+09
    14      0     13      0              1049.61          3.06432E+07          5.43900E-03          1.12796E+09
    14      0     15      1              1121.73          2.58121E+08          4.55800E-02          1.12796E+09
    14      0     13      1              1091.63          1.11501E+08          2.14100E-02          1.12796E+09
    14      0     15      2              1164.86          1.98290E+08          3.77600E-02          1.12796E+09
    14      0     13      2              1134.23          1.66024E+08          3.44100E-02          1.12796E+09
    14      0     15      3              1208.13          7.62169E+07          1.56100E-02          1.12796E+09
    14      0     13      3              1177.16          1.12341E+08          2.50800E-02          1.12796E+09
