B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B8	X6	R19	1405.32235	-0.1455	8.67E-3	7.31E+8
B8	X4	P24	1405.84907	-0.1690	1.12E-2	6.55E+8
B8	X8	R10	1406.09892	-0.1066	1.28E-2	9.97E+8
B8	X8	P9	1409.36401	-0.1083	1.28E-2	1.14E+9
B8	X6	P18	1409.79366	-0.1495	1.14E-2	7.90E+8
B8	X5	R23	1412.72124	-0.1569	3.99E-3	7.24E+8
B8	X8	R11	1412.79467	-0.1110	1.28E-2	9.51E+8
B8	X6	R20	1415.35065	-0.1481	9.43E-3	6.91E+8
B8	X8	P10	1416.57122	-0.1130	1.25E-2	1.09E+9
B8	X4	P25	1418.55074	-0.1700	1.09E-2	7.24E+8
B8	X8	R12	1419.77428	-0.1153	1.28E-2	9.60E+8
B8	X6	P19	1420.53160	-0.1531	1.09E-2	7.63E+8
B8	X8	P11	1424.12036	-0.1177	1.21E-2	1.04E+9
B8	X6	R21	1425.05428	-0.1491	1.02E-2	7.80E+8
B8	X8	R13	1426.95006	-0.1193	1.29E-2	8.77E+8
B8	X6	P20	1431.05657	-0.1556	1.01E-2	7.35E+8
B8	X8	P12	1431.91923	-0.1223	1.15E-2	9.97E+8
B8	X8	R14	1434.21915	-0.1228	1.30E-2	8.70E+8
B8	X6	R22	1434.25086	-0.1483	1.07E-2	6.55E+8
B8	X8	P13	1439.87615	-0.1265	1.07E-2	9.51E+8
B8	X6	P21	1441.20990	-0.1567	8.80E-3	7.31E+8
B8	X8	R15	1441.45525	-0.1257	1.30E-2	8.15E+8
B8	X8	R16	1448.53513	-0.1277	1.27E-2	7.90E+8
B9	X2	R12	1142.15036	-0.0551	8.99E-3	9.16E+8
B9	X1	R16	1143.14006	-0.0723	3.77E-3	7.80E+8
B9	X3	R7	1145.64601	-0.0365	1.06E-3	1.13E+9
B9	X0	P19	1149.13314	-0.0872	1.17E-2	7.77E+8
B9	X2	P12	1149.76881	-0.0603	1.07E-2	1.03E+9
B9	X3	R8	1152.34668	-0.0426	1.98E-3	1.08E+9
B9	X2	R13	1152.45108	-0.0631	9.09E-3	8.72E+8
B9	X0	R20	1153.69713	-0.0908	1.88E-2	6.87E+8
B9	X1	R17	1155.81505	-0.0810	4.32E-3	7.77E+8
B9	X3	R9	1160.17695	-0.0605	5.32E-3	1.03E+9
B9	X2	P13	1160.61119	-0.0684	9.32E-3	9.44E+8
B9	X2	R14	1163.36482	-0.0713	9.04E-3	8.41E+8
B9	X0	P20	1163.80373	-0.0962	1.23E-2	7.29E+8
B9	X3	P9	1166.19846	-0.0532	6.78E-4	1.13E+9
B9	X0	R21	1168.40149	-0.0996	1.89E-2	7.10E+8
B9	X4	R1	1168.53186	-0.0307	1.09E-2	1.55E+9
B9	X1	R18	1169.00825	-0.0898	4.88E-3	7.29E+8
B9	X4	P1	1169.63275	-0.0314	5.91E-3	1.76E+9
B9	X4	R2	1170.03182	-0.0322	9.82E-3	1.46E+9
B9	X4	P2	1171.86765	-0.0335	7.32E-3	1.65E+9
B9	X2	P14	1172.06158	-0.0767	9.04E-3	9.16E+8
B9	X4	R3	1172.44865	-0.0345	9.42E-3	1.38E+9
B9	X2	R15	1174.86396	-0.0797	8.89E-3	8.13E+8
B9	X4	P3	1175.01921	-0.0363	8.03E-3	1.55E+9
B9	X4	R4	1175.76423	-0.0377	9.27E-3	1.31E+9
B9	X3	R11	1177.02940	-0.0630	1.20E-3	9.44E+8
B9	X0	P21	1178.91957	-0.1050	1.29E-2	8.63E+8
B9	X4	P4	1179.06728	-0.0400	8.43E-3	1.46E+9
B9	X4	R5	1179.95463	-0.0416	9.20E-3	1.24E+9
B9	X1	R19	1182.67577	-0.0984	5.45E-3	8.63E+8
B9	X0	R22	1183.52274	-0.1082	1.91E-2	6.55E+8
B9	X4	P5	1183.98680	-0.0444	8.67E-3	1.38E+9
B9	X2	P15	1184.08540	-0.0852	9.03E-3	8.72E+8
B9	X3	P11	1184.92222	-0.0798	3.86E-3	1.03E+9
B9	X4	R6	1184.99378	-0.0462	9.10E-3	1.18E+9
B9	X2	R16	1186.90292	-0.0881	8.70E-3	7.80E+8
B9	X4	P6	1189.74850	-0.0494	8.82E-3	1.31E+9
B9	X4	R7	1190.84863	-0.0514	8.87E-3	1.13E+9
B9	X0	P22	1194.45275	-0.1137	1.35E-2	6.87E+8
B9	X4	P7	1196.31851	-0.0551	8.93E-3	1.24E+9
B9	X2	P16	1196.63861	-0.0938	9.14E-3	8.41E+8
B9	X1	R20	1196.78570	-0.1070	6.00E-3	6.87E+8
B9	X3	R13	1196.79355	-0.0782	2.25E-3	8.72E+8
B9	X4	R8	1197.47417	-0.0573	8.01E-3	1.08E+9
B9	X0	R23	1199.06371	-0.1166	1.93E-2	6.49E+8
B9	X2	R17	1199.44683	-0.0965	8.47E-3	7.77E+8
B9	X4	P8	1203.66205	-0.0613	9.07E-3	1.18E+9
B9	X4	R9	1205.23881	-0.0754	1.78E-2	1.03E+9
B9	X3	R14	1207.57004	-0.0861	2.77E-3	8.41E+8
B9	X2	P17	1209.69192	-0.1023	9.29E-3	8.13E+8
B9	X0	P23	1210.38231	-0.1221	1.42E-2	7.10E+8
B9	X1	R21	1211.31311	-0.1153	6.51E-3	7.10E+8
B9	X4	P9	1211.73847	-0.0679	9.32E-3	1.13E+9
B9	X2	R18	1212.46617	-0.1048	8.24E-3	7.29E+8
B9	X4	R10	1213.05104	-0.0702	1.13E-2	1.03E+9
B9	X3	R15	1218.89400	-0.0940	3.30E-3	8.13E+8
B9	X4	P10	1220.49585	-0.0750	9.95E-3	1.08E+9
B9	X4	R11	1221.80698	-0.0769	1.04E-2	9.44E+8
B9	X2	P18	1223.19673	-0.1107	9.48E-3	7.80E+8
B9	X2	R19	1225.90925	-0.1130	8.03E-3	8.63E+8
B9	X1	R22	1226.20053	-0.1235	6.96E-3	6.55E+8
B9	X0	P24	1226.65486	-0.1302	1.48E-2	6.55E+8
B9	X4	P11	1230.31393	-0.0944	1.20E-3	1.03E+9
B9	X3	R16	1230.71270	-0.1020	3.80E-3	7.80E+8
B9	X4	R12	1231.19513	-0.0840	1.00E-2	9.16E+8
B9	X2	P19	1237.11519	-0.1190	9.68E-3	7.77E+8
B9	X2	R20	1239.73657	-0.1210	7.85E-3	6.87E+8
B9	X4	P12	1240.05240	-0.0898	7.86E-3	1.03E+9
B9	X4	R13	1241.17188	-0.0914	9.74E-3	8.72E+8
B9	X1	R23	1241.44478	-0.1313	7.33E-3	6.49E+8
B9	X3	R17	1242.98429	-0.1099	4.28E-3	7.77E+8
B9	X0	P25	1243.27135	-0.1379	1.55E-2	6.49E+8
B9	X4	P13	1250.64191	-0.0972	8.53E-3	9.44E+8
B9	X2	P20	1251.41445	-0.1271	9.89E-3	7.29E+8
B9	X4	R14	1251.68232	-0.0988	9.48E-3	8.41E+8
B9	X2	R21	1253.91514	-0.1288	7.73E-3	7.10E+8
B9	X3	R18	1255.67187	-0.1177	4.71E-3	7.29E+8
B9	X6	R1	1260.50225	-0.0566	1.42E-2	1.55E+9
B9	X4	P14	1261.75536	-0.1048	8.84E-3	9.16E+8
B9	X4	R15	1262.68684	-0.1063	9.24E-3	8.13E+8
B9	X6	R3	1264.15347	-0.0601	1.26E-2	1.38E+9
B9	X2	P21	1266.03716	-0.1348	1.01E-2	8.63E+8
B9	X6	P3	1267.14239	-0.0621	8.02E-3	1.55E+9
B9	X6	R4	1267.28398	-0.0629	1.24E-2	1.31E+9
B9	X2	R22	1268.37598	-0.1362	7.69E-3	6.55E+8
B9	X3	R19	1268.71382	-0.1252	5.06E-3	8.63E+8
B9	X6	P4	1271.12210	-0.0655	8.14E-3	1.46E+9
B9	X6	R5	1271.24725	-0.0665	1.23E-2	1.24E+9
B9	X4	P15	1273.34470	-0.1125	9.06E-3	8.72E+8
B9	X4	R16	1274.12373	-0.1136	9.02E-3	7.80E+8
B9	X5	P11	1275.57825	-0.1070	1.68E-3	1.03E+9
B9	X6	P5	1275.92873	-0.0696	8.18E-3	1.38E+9
B9	X6	R6	1276.01048	-0.0706	1.22E-2	1.18E+9
B9	X2	P22	1280.93775	-0.1422	1.03E-2	6.87E+8
B9	X6	P6	1281.52536	-0.0743	8.19E-3	1.31E+9
B9	X6	R7	1281.53218	-0.0753	1.22E-2	1.13E+9
B9	X3	R20	1282.06047	-0.1325	5.31E-3	6.87E+8
B9	X2	R23	1283.10680	-0.1431	7.75E-3	6.49E+8
B9	X4	P16	1285.34963	-0.1200	9.24E-3	8.41E+8
B9	X4	R17	1285.94205	-0.1209	8.86E-3	7.77E+8
B9	X6	R8	1287.75627	-0.0807	1.21E-2	1.08E+9
B9	X6	P7	1287.86906	-0.0795	8.18E-3	1.24E+9
B9	X6	P8	1294.91516	-0.0851	8.15E-3	1.18E+9
B9	X6	R9	1295.10329	-0.0990	6.84E-3	1.03E+9
B9	X3	R21	1295.66765	-0.1393	5.43E-3	7.10E+8
B9	X2	P23	1296.07624	-0.1492	1.05E-2	7.10E+8
B9	X4	P17	1297.72528	-0.1274	9.38E-3	8.13E+8
B9	X4	R18	1298.09500	-0.1279	8.76E-3	7.29E+8
B9	X6	R10	1302.30681	-0.0921	1.18E-2	1.03E+9
B9	X6	P9	1302.61136	-0.0911	8.11E-3	1.13E+9
B9	X5	R15	1305.70725	-0.1158	1.73E-3	8.13E+8
B9	X3	R22	1309.45089	-0.1457	5.39E-3	6.55E+8
B9	X6	R11	1310.39472	-0.0979	1.19E-2	9.44E+8
B9	X4	P18	1310.40244	-0.1344	9.49E-3	7.80E+8
B9	X4	R19	1310.50786	-0.1345	8.75E-3	8.63E+8
B9	X6	P10	1310.89138	-0.0975	8.00E-3	1.08E+9
B9	X2	P24	1311.37232	-0.1556	1.08E-2	6.55E+8
B9	X6	R12	1318.99895	-0.1040	1.18E-2	9.16E+8
B9	X6	P11	1320.18493	-0.1169	5.04E-3	1.03E+9
B9	X4	R20	1323.11686	-0.1407	8.83E-3	6.87E+8
B9	X4	P19	1323.32186	-0.1411	9.54E-3	7.77E+8
B9	X3	R23	1323.38375	-0.1514	5.17E-3	6.49E+8
B9	X2	P25	1326.80394	-0.1613	1.10E-2	6.49E+8
B9	X5	R17	1327.68789	-0.1287	1.90E-3	7.77E+8
B9	X6	R13	1328.05910	-0.1101	1.18E-2	8.72E+8
B9	X6	P12	1329.16981	-0.1103	7.87E-3	1.03E+9
B9	X7	P7	1332.83237	-0.0877	2.97E-3	1.24E+9
B9	X4	R21	1335.86160	-0.1463	9.04E-3	7.10E+8
B9	X4	P20	1336.42682	-0.1474	9.54E-3	7.29E+8
B9	X6	R14	1337.49989	-0.1161	1.17E-2	8.41E+8
B9	X6	P13	1338.90723	-0.1165	7.78E-3	9.44E+8
B9	X7	P9	1346.86502	-0.0984	3.56E-3	1.13E+9
B9	X6	R15	1347.26107	-0.1220	1.17E-2	8.13E+8
B9	X4	R22	1348.63538	-0.1512	9.36E-3	6.55E+8
B9	X6	P14	1349.00789	-0.1227	7.60E-3	9.16E+8
B9	X4	P21	1349.62849	-0.1530	9.45E-3	8.63E+8
B9	X8	R3	1354.07858	-0.0751	1.21E-2	1.38E+9
B9	X6	R16	1357.25405	-0.1275	1.17E-2	7.80E+8
B9	X8	P3	1357.50843	-0.0773	7.02E-3	1.55E+9
B9	X6	P15	1359.40132	-0.1288	7.33E-3	8.72E+8
B9	X8	R5	1360.23293	-0.0805	1.20E-2	1.24E+9
B9	X4	R23	1361.38834	-0.1552	9.80E-3	6.49E+8
B9	X4	P22	1362.84611	-0.1579	9.23E-3	6.87E+8
B9	X7	P11	1363.44828	-0.1234	3.11E-3	1.03E+9
B9	X8	P5	1365.59413	-0.0839	6.57E-3	1.38E+9
B9	X6	R17	1367.39858	-0.1326	1.17E-2	7.77E+8
B9	X8	R7	1369.12506	-0.0878	1.20E-2	1.13E+9
B9	X6	P16	1369.99994	-0.1344	6.96E-3	8.41E+8
B9	X8	R8	1374.45026	-0.0922	1.18E-2	1.08E+9
B9	X4	P23	1375.99757	-0.1618	8.82E-3	7.10E+8
B9	X8	P7	1376.36025	-0.0923	5.76E-3	1.24E+9
B9	X6	R18	1377.61358	-0.1371	1.16E-2	7.29E+8
B9	X6	P17	1380.72961	-0.1396	6.45E-3	8.13E+8
B9	X7	P13	1380.73396	-0.1209	5.16E-3	9.44E+8
B9	X8	R9	1380.80637	-0.1102	7.18E-3	1.03E+9
B9	X8	R10	1386.74191	-0.1011	1.15E-2	1.03E+9
B9	X6	R19	1387.77903	-0.1408	1.15E-2	8.63E+8
B9	X5	P21	1388.11608	-0.1556	2.67E-3	8.63E+8
B9	X4	P24	1388.94423	-0.1645	8.16E-3	6.55E+8
B9	X8	P9	1389.34428	-0.1018	4.73E-3	1.13E+9
B9	X8	R11	1393.41159	-0.1054	1.14E-2	9.44E+8
B9	X6	R20	1397.77643	-0.1434	1.12E-2	6.87E+8
B9	X7	P15	1399.30883	-0.1309	6.20E-3	8.72E+8
B9	X8	R12	1400.37976	-0.1097	1.10E-2	9.16E+8
B9	X4	P25	1401.59587	-0.1656	7.17E-3	6.49E+8
B9	X6	P19	1402.15697	-0.1479	4.91E-3	7.77E+8
B9	X6	R21	1407.47408	-0.1446	1.05E-2	7.10E+8
B9	X8	R13	1407.55646	-0.1137	1.05E-2	8.72E+8
B9	X9	P5	1407.80228	-0.0849	7.61E-3	1.38E+9
B9	X5	P23	1411.26821	-0.1594	4.26E-3	7.10E+8
B9	X9	P7	1417.54650	-0.0923	8.90E-3	1.24E+9
B9	X7	P17	1418.05188	-0.1386	7.43E-3	8.13E+8
B9	X8	R15	1422.09632	-0.1203	8.73E-3	8.13E+8
B9	X9	P9	1429.04928	-0.1003	9.97E-3	1.13E+9
B9	X9	R11	1430.49473	-0.1016	5.40E-3	9.44E+8
B9	X7	P19	1435.97130	-0.1422	8.40E-3	7.77E+8
B9	X8	R17	1436.02137	-0.1234	5.73E-3	7.77E+8
B9	X9	R13	1441.83846	-0.1071	6.64E-3	8.72E+8
B9	X9	P11	1442.16975	-0.1224	6.88E-3	1.03E+9
B10	X2	R13	1140.14062	-0.0596	8.64E-3	8.69E+8
B10	X0	R20	1142.33687	-0.0879	1.87E-2	6.87E+8
B10	X1	R17	1143.97075	-0.0778	1.55E-3	8.62E+8
B10	X3	P8	1144.90671	-0.0425	3.73E-3	1.17E+9
B10	X2	P13	1147.81453	-0.0645	3.27E-3	9.37E+8
B10	X2	R14	1150.94985	-0.0678	9.67E-3	8.31E+8
B10	X0	P20	1151.93927	-0.0929	1.06E-2	7.25E+8
B10	X3	P9	1152.92437	-0.0490	3.22E-3	1.12E+9
B10	X1	P17	1153.00048	-0.0829	5.04E-4	8.30E+8
B10	X4	R1	1154.76145	-0.0262	1.15E-2	1.53E+9
B10	X4	P1	1155.81382	-0.0269	3.90E-3	1.74E+9
B10	X4	R2	1156.24453	-0.0279	1.25E-2	1.44E+9
B10	X0	R21	1156.90129	-0.0967	1.90E-2	6.70E+8
B10	X1	R18	1157.03799	-0.0865	1.86E-3	7.25E+8
B10	X4	R3	1158.60169	-0.0312	1.77E-2	1.37E+9
B10	X2	P14	1159.29060	-0.0749	1.75E-2	8.99E+8
B10	X4	P3	1161.09638	-0.0318	3.73E-3	1.53E+9
B10	X3	P10	1161.66507	-0.0562	2.97E-3	1.09E+9
B10	X2	R15	1162.33755	-0.0761	1.01E-2	8.30E+8
B10	X4	R5	1166.23882	-0.0385	3.08E-3	1.23E+9
B10	X0	P21	1166.90188	-0.1018	1.13E-2	7.22E+8
B10	X4	P5	1169.86761	-0.0409	1.26E-3	1.37E+9
B10	X1	R19	1170.58177	-0.0952	2.20E-3	7.22E+8
B10	X3	P11	1171.08435	-0.0637	2.84E-3	1.02E+9
B10	X2	P15	1171.09365	-0.0814	8.23E-3	8.69E+8
B10	X4	R6	1171.20898	-0.0422	5.57E-3	1.17E+9
B10	X0	R22	1171.88839	-0.1054	1.92E-2	6.66E+8
B10	X2	R16	1174.26299	-0.0845	1.02E-2	7.74E+8
B10	X4	P6	1176.00518	-0.0598	2.33E-2	1.30E+9
B10	X4	R7	1177.01078	-0.0472	6.81E-3	1.12E+9
B10	X3	P12	1181.14376	-0.0715	2.85E-3	9.78E+8
B10	X4	P7	1182.22190	-0.0518	9.11E-3	1.23E+9
B10	X0	P22	1182.27992	-0.1104	1.20E-2	6.87E+8
B10	X2	P16	1183.50732	-0.0899	7.67E-3	8.31E+8
B10	X4	R8	1183.59768	-0.0529	7.58E-3	1.09E+9
B10	X1	R20	1184.56552	-0.1038	2.54E-3	6.87E+8
B10	X2	R17	1186.69634	-0.0929	1.03E-2	8.62E+8
B10	X0	R23	1187.28939	-0.1138	1.95E-2	6.36E+8
B10	X4	P8	1189.44211	-0.0571	6.96E-3	1.17E+9
B10	X4	R9	1190.92522	-0.0590	8.08E-3	1.02E+9
B10	X3	P13	1191.79412	-0.0796	3.36E-3	9.37E+8
B10	X2	P17	1196.41603	-0.0984	7.68E-3	8.30E+8
B10	X4	P9	1197.41380	-0.0634	6.24E-3	1.12E+9
B10	X0	P23	1198.04521	-0.1188	1.26E-2	6.70E+8
B10	X4	R10	1198.95419	-0.0657	8.32E-3	9.78E+8
B10	X1	R21	1198.95713	-0.1122	2.86E-3	6.70E+8
B10	X2	R18	1199.59428	-0.1013	1.04E-2	7.25E+8
B10	X5	P3	1206.01399	-0.0454	3.72E-3	1.53E+9
B10	X4	P10	1206.08389	-0.0703	5.95E-3	1.09E+9
B10	X5	R4	1207.02972	-0.0619	1.77E-2	1.30E+9
B10	X4	R11	1207.63352	-0.0727	7.84E-3	9.37E+8
B10	X2	P18	1209.77633	-0.1068	7.85E-3	7.74E+8
B10	X5	R5	1210.82666	-0.0517	4.43E-3	1.23E+9
B10	X2	R19	1212.91973	-0.1095	1.03E-2	7.22E+8
B10	X1	R22	1213.71641	-0.1203	3.15E-3	6.66E+8
B10	X0	P24	1214.16153	-0.1270	1.33E-2	6.66E+8
B10	X5	P5	1214.73869	-0.0543	6.50E-3	1.37E+9
B10	X3	P15	1214.83628	-0.0958	1.27E-3	8.69E+8
B10	X4	P11	1215.40223	-0.0775	5.87E-3	1.02E+9
B10	X4	R12	1217.11072	-0.0820	1.45E-2	8.99E+8
B10	X5	R7	1221.37689	-0.0600	1.81E-3	1.12E+9
B10	X2	P19	1223.55580	-0.1151	8.07E-3	8.62E+8
B10	X4	P12	1225.32481	-0.0850	5.98E-3	9.78E+8
B10	X2	R20	1226.62832	-0.1176	1.03E-2	6.87E+8
B10	X4	R13	1226.90477	-0.0873	1.10E-2	8.69E+8
B10	X5	P7	1226.98921	-0.0648	2.08E-3	1.23E+9
B10	X1	R23	1228.82779	-0.1282	3.38E-3	6.36E+8
B10	X0	P25	1230.61741	-0.1348	1.39E-2	6.36E+8
B10	X4	P13	1235.79563	-0.0927	6.49E-3	9.37E+8
B10	X4	R14	1237.32245	-0.0947	1.08E-2	8.31E+8
B10	X2	P20	1237.70697	-0.1232	8.32E-3	7.25E+8
B10	X3	P17	1239.72978	-0.1119	1.41E-3	8.30E+8
B10	X2	R21	1240.67950	-0.1253	1.03E-2	6.70E+8
B10	X5	P9	1241.94921	-0.0759	3.60E-3	1.12E+9
B10	X6	R3	1248.07053	-0.0562	4.60E-3	1.37E+9
B10	X4	R15	1248.22923	-0.1021	1.07E-2	8.30E+8
B10	X5	P10	1250.45067	-0.0825	3.89E-3	1.09E+9
B10	X6	P3	1250.96587	-0.0569	3.81E-3	1.53E+9
B10	X6	R4	1251.70272	-0.0738	1.13E-2	1.30E+9
B10	X2	P21	1252.18815	-0.1310	8.56E-3	7.22E+8
B10	X3	R19	1254.80651	-0.1215	1.13E-3	7.22E+8
B10	X2	R22	1255.02298	-0.1328	1.04E-2	6.66E+8
B10	X6	R5	1255.34126	-0.0628	9.09E-3	1.23E+9
B10	X4	P15	1258.33283	-0.1080	5.14E-3	8.69E+8
B10	X6	P5	1259.54672	-0.0656	4.47E-3	1.37E+9
B10	X5	P11	1259.55629	-0.0893	4.08E-3	1.02E+9
B10	X4	R16	1259.56921	-0.1095	1.07E-2	7.74E+8
B10	X6	R6	1260.04107	-0.0661	8.61E-3	1.17E+9
B10	X6	R7	1265.52074	-0.0705	8.62E-3	1.12E+9
B10	X3	P19	1266.19332	-0.1274	1.35E-3	8.62E+8
B10	X2	P22	1266.94867	-0.1385	8.78E-3	6.87E+8
B10	X5	P12	1269.21522	-0.0963	4.19E-3	9.78E+8
B10	X2	R23	1269.63337	-0.1398	1.05E-2	6.36E+8
B10	X4	P16	1270.21156	-0.1155	5.49E-3	8.31E+8
B10	X4	R17	1271.29755	-0.1168	1.08E-2	8.62E+8
B10	X6	P7	1271.54708	-0.0756	2.11E-3	1.23E+9
B10	X6	R8	1271.72251	-0.0756	8.77E-3	1.09E+9
B10	X6	R9	1278.59026	-0.0811	8.99E-3	1.02E+9
B10	X5	P13	1279.36317	-0.1036	4.13E-3	9.37E+8
B10	X2	P23	1281.94059	-0.1454	8.97E-3	6.70E+8
B10	X4	P17	1282.45901	-0.1229	5.65E-3	8.30E+8
B10	X4	R18	1283.35184	-0.1238	1.08E-2	7.25E+8
B10	X6	P9	1286.07226	-0.0860	2.50E-3	1.12E+9
B10	X6	R10	1286.07304	-0.0870	9.21E-3	9.78E+8
B10	X5	P14	1290.15839	-0.1128	5.11E-3	8.99E+8
B10	X7	R3	1292.37765	-0.0651	6.30E-3	1.37E+9
B10	X3	P21	1293.82382	-0.1417	1.39E-3	7.22E+8
B10	X6	R11	1294.10515	-0.0932	9.44E-3	9.37E+8
B10	X4	P18	1295.01229	-0.1300	5.72E-3	7.74E+8
B10	X7	P3	1295.48246	-0.0658	6.06E-3	1.53E+9
B10	X4	R19	1295.67454	-0.1305	1.08E-2	7.22E+8
B10	X2	P24	1297.10377	-0.1519	9.11E-3	6.66E+8
B10	X7	R5	1299.28952	-0.0713	4.85E-3	1.23E+9
B10	X5	P15	1301.05205	-0.1176	4.86E-3	8.69E+8
B10	X6	R12	1302.84720	-0.1015	8.17E-3	8.99E+8
B10	X6	P11	1303.03034	-0.0984	2.39E-3	1.02E+9
B10	X7	P5	1303.79513	-0.0742	6.30E-3	1.37E+9
B10	X4	P19	1307.81874	-0.1367	5.72E-3	8.62E+8
B10	X4	R20	1308.19670	-0.1368	1.09E-2	6.87E+8
B10	X7	R7	1308.91081	-0.0783	4.51E-3	1.12E+9
B10	X6	R13	1311.73770	-0.1055	9.48E-3	8.69E+8
B10	X5	P16	1312.37880	-0.1243	4.93E-3	8.31E+8
B10	X2	P25	1312.40234	-0.1577	9.18E-3	6.36E+8
B10	X7	P7	1315.35852	-0.0836	7.76E-3	1.23E+9
B10	X4	P20	1320.80533	-0.1430	5.63E-3	7.25E+8
B10	X4	R21	1320.84982	-0.1425	1.09E-2	6.70E+8
B10	X6	R14	1321.11633	-0.1115	9.61E-3	8.31E+8
B10	X7	R9	1321.20014	-0.0880	4.05E-3	1.02E+9
B10	X6	P13	1321.90566	-0.1114	2.17E-3	9.37E+8
B10	X7	P8	1321.96936	-0.0878	8.01E-3	1.17E+9
B10	X5	P17	1323.97536	-0.1307	5.08E-3	8.30E+8
B10	X7	P9	1329.19070	-0.0930	8.21E-3	1.12E+9
B10	X6	R15	1330.81448	-0.1174	9.60E-3	8.30E+8
B10	X4	R22	1333.54909	-0.1475	1.09E-2	6.66E+8
B10	X4	P21	1333.90168	-0.1487	5.42E-3	7.22E+8
B10	X7	R11	1335.64918	-0.0988	3.67E-3	9.37E+8
B10	X7	P10	1336.94559	-0.0986	8.40E-3	1.09E+9
B10	X6	R16	1340.75066	-0.1230	9.49E-3	7.74E+8
B10	X7	P11	1345.15872	-0.1043	8.57E-3	1.02E+9
B10	X4	R23	1346.23046	-0.1515	1.09E-2	6.36E+8
B10	X5	P19	1347.67498	-0.1423	5.57E-3	8.62E+8
B10	X3	P25	1350.59081	-0.1628	2.25E-3	6.36E+8
B10	X6	R17	1350.85197	-0.1282	9.25E-3	8.62E+8
B10	X8	R7	1350.86565	-0.0825	3.80E-3	1.12E+9
B10	X7	R13	1351.85869	-0.1094	3.77E-3	8.69E+8
B10	X7	P12	1353.75977	-0.1100	8.72E-3	9.78E+8
B10	X4	P23	1360.07556	-0.1577	4.55E-3	6.70E+8
B10	X6	R18	1361.02037	-0.1327	8.84E-3	7.25E+8
B10	X8	R9	1362.05136	-0.0910	3.90E-3	1.02E+9
B10	X7	P13	1362.66073	-0.1156	8.77E-3	9.37E+8
B10	X7	R15	1369.03761	-0.1191	4.08E-3	8.30E+8
B10	X6	R19	1371.15601	-0.1365	8.22E-3	7.22E+8
B10	X5	P21	1371.48503	-0.1511	6.32E-3	7.22E+8
B10	X7	P14	1372.02233	-0.1232	8.29E-3	8.99E+8
B10	X8	R11	1375.00716	-0.1002	3.68E-3	9.37E+8
B10	X9	R3	1377.10009	-0.0722	1.15E-2	1.37E+9
B10	X9	P3	1380.62587	-0.0730	9.41E-3	1.53E+9
B10	X7	P15	1381.20111	-0.1258	8.97E-3	8.69E+8
B10	X9	R5	1382.78098	-0.0772	1.10E-2	1.23E+9
B10	X4	P25	1385.53469	-0.1618	2.94E-3	6.36E+8
B10	X7	R17	1386.55560	-0.1269	4.91E-3	8.62E+8
B10	X9	P5	1387.88538	-0.0802	9.46E-3	1.37E+9
B10	X9	R7	1390.51825	-0.0822	1.08E-2	1.12E+9
B10	X7	P16	1390.54806	-0.1300	8.88E-3	8.31E+8
B10	X6	R21	1390.81970	-0.1406	6.10E-3	6.70E+8
B10	X5	P23	1394.52445	-0.1552	7.13E-3	6.70E+8
B10	X9	P7	1397.79726	-0.0879	9.22E-3	1.23E+9
B10	X7	P17	1399.84322	-0.1336	8.62E-3	8.30E+8
B10	X9	R9	1400.19031	-0.0893	1.06E-2	1.02E+9
B10	X7	R19	1403.47441	-0.1307	6.22E-3	7.22E+8
B10	X9	P9	1409.16812	-0.0946	8.66E-3	1.12E+9
B10	X9	R11	1411.10448	-0.0964	1.03E-2	9.37E+8
B10	X7	P19	1417.73458	-0.1374	7.25E-3	8.62E+8
B10	X9	P11	1421.72309	-0.1022	7.16E-3	1.02E+9
B10	X9	R13	1422.62086	-0.1021	9.88E-3	8.69E+8
B10	X9	R15	1433.53158	-0.1047	8.37E-3	8.30E+8
B10	X9	P13	1434.58835	-0.1086	4.87E-3	9.37E+8
B10	X10	P9	1443.82787	-0.0868	5.44E-3	1.12E+9
