B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B1	X3	R12	1321.25793	-0.1188	5.02E-2	9.40E+8
B1	X4	R5	1322.30647	-0.0951	1.37E-2	1.30E+9
B1	X3	P11	1323.23783	-0.1200	3.52E-2	1.07E+9
B1	X4	P4	1323.61063	-0.0959	5.34E-3	1.53E+9
B1	X4	R6	1327.56561	-0.0994	1.51E-2	1.24E+9
B1	X2	R17	1328.98974	-0.1412	3.34E-2	7.76E+8
B1	X4	P5	1329.14062	-0.1003	5.53E-3	1.45E+9
B1	X2	P16	1330.50310	-0.1424	3.67E-2	8.67E+8
B1	X3	R13	1332.31509	-0.1265	5.13E-2	9.71E+8
B1	X4	R7	1333.72851	-0.1044	1.68E-2	1.18E+9
B1	X3	P12	1334.50043	-0.1278	3.65E-2	1.02E+9
B1	X4	P6	1335.57884	-0.1055	5.79E-3	1.37E+9
B1	X0	P23	1335.59273	-0.1641	1.70E-3	6.80E+8
B1	X1	R21	1336.72616	-0.1567	8.68E-3	6.80E+8
B1	X1	P20	1337.38135	-0.1580	1.34E-2	7.49E+8
B1	X4	R8	1340.76091	-0.1098	1.86E-2	1.12E+9
B1	X4	P7	1342.89130	-0.1111	6.14E-3	1.30E+9
B1	X2	R18	1343.27197	-0.1495	3.33E-2	7.49E+8
B1	X3	R14	1344.03089	-0.1343	5.25E-2	8.67E+8
B1	X2	P17	1344.97118	-0.1510	3.72E-2	8.36E+8
B1	X3	P13	1346.43252	-0.1359	3.79E-2	9.82E+8
B1	X4	R9	1348.62517	-0.1158	2.06E-2	1.07E+9
B1	X4	P8	1351.04073	-0.1173	6.58E-3	1.24E+9
B1	X1	R22	1353.13714	-0.1648	8.70E-3	6.72E+8
B1	X1	P21	1353.99937	-0.1665	1.36E-2	7.24E+8
B1	X3	R15	1356.35615	-0.1422	5.36E-2	8.36E+8
B1	X4	R10	1357.28063	-0.1222	2.26E-2	1.02E+9
B1	X2	R19	1358.03257	-0.1577	3.33E-2	7.24E+8
B1	X3	P14	1358.99123	-0.1440	3.94E-2	9.40E+8
B1	X2	P18	1359.95364	-0.1595	3.78E-2	8.04E+8
B1	X4	P9	1359.98713	-0.1239	7.11E-3	1.18E+9
B1	X4	R11	1366.68392	-0.1290	2.47E-2	9.82E+8
B1	X5	R1	1368.91618	-0.1036	6.06E-3	1.63E+9
B1	X3	R16	1369.25057	-0.1501	5.46E-2	8.04E+8
B1	X4	P10	1369.68820	-0.1309	7.72E-3	1.12E+9
B1	X1	R23	1369.89890	-0.1724	8.84E-3	6.44E+8
B1	X1	P22	1371.02332	-0.1746	1.38E-2	7.03E+8
B1	X0	P25	1372.12337	-0.1798	1.78E-3	6.44E+8
B1	X3	P15	1372.12912	-0.1522	4.08E-2	9.71E+8
B1	X5	R3	1372.49428	-0.1066	3.76E-3	1.45E+9
B1	X2	R20	1373.23105	-0.1656	3.35E-2	7.03E+8
B1	X2	P19	1375.39140	-0.1678	3.86E-2	7.76E+8
B1	X4	R12	1376.78913	-0.1360	2.68E-2	9.40E+8
B1	X5	P3	1377.29289	-0.1102	5.73E-3	1.63E+9
B1	X5	R5	1379.92119	-0.1127	2.23E-3	1.30E+9
B1	X4	P11	1380.09943	-0.1382	8.41E-3	1.07E+9
B1	X5	P4	1381.87217	-0.1139	6.09E-3	1.53E+9
B1	X3	R17	1382.64969	-0.1579	5.57E-2	7.76E+8
B1	X3	P16	1385.80198	-0.1603	4.23E-2	8.67E+8
B1	X1	R24	1386.97198	-0.1796	9.12E-3	6.61E+8
B1	X5	P5	1387.36553	-0.1182	6.29E-3	1.45E+9
B1	X4	R13	1387.54492	-0.1432	2.89E-2	9.71E+8
B1	X1	P23	1388.38699	-0.1824	1.42E-2	6.80E+8
B1	X2	R21	1388.79604	-0.1732	3.40E-2	6.80E+8
B1	X4	P12	1391.17422	-0.1456	9.15E-3	1.02E+9
B1	X2	P20	1391.24361	-0.1759	3.94E-2	7.49E+8
B1	X5	P6	1393.73857	-0.1231	6.37E-3	1.37E+9
B1	X3	R18	1396.50761	-0.1656	5.68E-2	7.49E+8
B1	X4	R14	1398.90277	-0.1505	3.08E-2	8.67E+8
B1	X3	P17	1399.95614	-0.1684	4.37E-2	8.36E+8
B1	X5	P7	1400.95243	-0.1286	6.35E-3	1.30E+9
B1	X4	P13	1402.86379	-0.1532	9.92E-3	9.82E+8
B1	X2	R22	1404.68011	-0.1804	3.49E-2	6.72E+8
B1	X1	P24	1406.04795	-0.1896	1.47E-2	6.72E+8
B1	X2	P21	1407.45055	-0.1836	4.05E-2	7.24E+8
B1	X5	P8	1408.96437	-0.1345	6.26E-3	1.24E+9
B1	X3	R19	1410.75935	-0.1730	5.80E-2	7.24E+8
B1	X4	R15	1410.80416	-0.1578	3.26E-2	8.36E+8
B1	X3	P18	1414.54660	-0.1762	4.51E-2	8.04E+8
B1	X4	P14	1415.11697	-0.1608	1.07E-2	9.40E+8
B1	X5	P9	1417.72825	-0.1407	6.12E-3	1.18E+9
